ticker,quarter,call_date,guidance_consensus,gemma3_4b,llama3_1_8b,agree
JNJ,Q2-2024,2024-07-17,raised,raised,none,0
JNJ,Q3-2024,2024-10-15,raised,raised,raised,1
JNJ,Q4-2024,2025-01-22,maintained,maintained,maintained,1
JNJ,Q1-2025,2025-04-15,none,none,none,1
JNJ,Q2-2025,2025-07-16,raised,raised,raised,1
JNJ,Q3-2025,2025-10-14,raised,raised,none,0
JNJ,Q4-2025,2026-01-21,raised,raised,none,0
JNJ,Q1-2026,2026-04-14,raised,raised,raised,1
JPM,Q4-2023,2024-01-12,lowered,lowered,maintained,0
JPM,Q1-2024,2024-04-12,lowered,lowered,lowered,1
JPM,Q2-2024,2024-07-12,maintained,maintained,maintained,1
JPM,Q3-2024,2024-10-11,raised,raised,maintained,0
JPM,Q4-2024,2025-01-15,none,none,none,1
JPM,Q1-2025,2025-04-11,raised,raised,raised,1
JPM,Q2-2025,2025-07-15,raised,raised,raised,1
JPM,Q3-2025,2025-10-14,raised,raised,raised,1
JPM,Q4-2025,2026-01-13,maintained,maintained,maintained,1
JPM,Q1-2026,2026-04-14,raised,raised,none,0
NKE,Q3-2024,2024-03-21,lowered,lowered,none,0
NKE,Q4-2024,2024-06-27,lowered,lowered,lowered,1
NKE,Q1-2025,2024-10-01,lowered,raised,lowered,0
NKE,Q2-2025,2024-12-19,none,none,none,1
NKE,Q3-2025,2025-03-20,none,none,none,1
NKE,Q4-2025,2025-06-26,raised,raised,none,0
NKE,Q1-2026,2025-09-30,raised,raised,none,0
NKE,Q2-2026,2025-12-18,none,none,none,1
NKE,Q3-2026,2026-03-31,raised,raised,none,0
NVDA,Q4-2024,2024-02-21,lowered,lowered,maintained,0
NVDA,Q1-2025,2024-05-22,none,none,none,1
NVDA,Q2-2025,2024-08-28,maintained,maintained,maintained,1
NVDA,Q3-2025,2024-11-20,maintained,maintained,none,0
NVDA,Q4-2025,2025-02-26,maintained,maintained,none,0
NVDA,Q1-2026,2025-05-28,none,none,none,1
NVDA,Q2-2026,2025-08-27,raised,raised,raised,1
NVDA,Q3-2026,2025-11-19,none,none,none,1
NVDA,Q4-2026,2026-02-25,none,none,none,1
PLTR,Q4-2023,2024-02-05,raised,raised,none,0
PLTR,Q1-2024,2024-05-06,raised,raised,none,0
PLTR,Q2-2024,2024-08-05,none,none,none,1
PLTR,Q3-2024,2024-11-04,raised,raised,none,0
PLTR,Q4-2024,2025-02-03,raised,raised,raised,1
PLTR,Q1-2025,2025-05-05,raised,raised,none,0
PLTR,Q2-2025,2025-08-04,none,none,none,1
PLTR,Q3-2025,2025-11-03,none,none,none,1
PLTR,Q4-2025,2026-02-02,raised,raised,raised,1
WFC,Q4-2023,2024-01-17,lowered,lowered,none,0
WFC,Q1-2024,2024-04-12,lowered,lowered,none,0
WFC,Q2-2024,2024-07-12,lowered,lowered,lowered,1
WFC,Q3-2024,2024-10-11,lowered,lowered,none,0
WFC,Q4-2024,2025-01-15,raised,raised,none,0
WFC,Q1-2025,2025-04-11,lowered,lowered,none,0
WFC,Q2-2025,2025-07-15,raised,raised,none,0
WFC,Q3-2025,2025-10-14,raised,raised,raised,1
WFC,Q4-2025,2026-01-15,raised,raised,raised,1
